user_id,offer_arm
3,0
5,0
12,1
13,2
20,0
21,0
23,0
33,0
40,0
42,1
48,0
53,0
55,0
57,2
65,0
67,0
70,1
71,0
74,0
85,0
91,2
92,0
93,1
102,0
109,1
112,0
116,0
120,2
126,0
127,0
128,0
137,0
141,1
142,3
145,0
146,1
150,1
152,0
162,0
183,0
187,2
196,0
197,0
203,0
207,0
209,0
219,0
225,0
230,0
233,0
240,0
248,2
251,1
256,0
260,0
264,0
267,0
271,1
274,0
279,0
281,0
291,2
293,1
294,0
295,0
298,0
300,3
302,2
303,0
304,0
308,3
310,1
315,1
321,1
323,0
342,1
349,0
354,0
355,1
368,0
375,0
388,0
389,1
397,0
402,0
419,0
421,1
423,0
431,0
434,0
436,0
442,0
443,0
451,1
452,0
456,0
457,0
459,0
463,0
470,2
488,0
491,2
496,3
509,0
511,2
513,0
518,0
519,2
525,0
528,0
533,0
540,1
542,0
543,1
562,0
568,1
573,0
575,3
576,0
592,0
596,0
597,0
606,0
621,0
622,1
626,1
628,1
630,1
631,0
637,0
642,0
649,0
666,0
667,0
680,0
681,0
682,0
683,0
688,0
708,0
721,1
725,2
729,1
736,0
737,0
740,0
743,0
746,1
755,0
761,0
768,0
770,0
771,0
779,2
782,1
789,0
793,0
795,1
797,0
798,2
800,0
801,0
804,0
807,1
811,0
812,0
817,0
829,2
831,0
835,2
837,2
838,0
846,1
851,0
859,0
867,0
871,1
873,0
875,1
877,0
880,1
881,0
882,2
907,0
920,0
924,1
925,0
929,0
941,0
943,0
944,0
945,1
952,1
957,0
961,3
963,0
970,0
971,0
972,0
974,0
976,0
979,1
981,0
982,1
986,0
1006,0
1011,0
1017,1
1020,0
1031,0
1041,0
1044,1
1046,1
1048,0
1049,0
1050,0
1056,2
1057,0
1059,0
1064,0
1071,2
1072,0
1073,0
1087,0
1098,0
1099,2
1102,0
1103,1
1107,0
1117,0
1124,0
1126,0
1130,1
1131,0
1132,0
1134,0
1135,1
1144,0
1156,2
1160,0
1169,0
1173,0
1176,1
1183,2
1184,2
1197,0
1199,0
1202,0
1203,1
1212,0
1216,2
1219,0
1222,0
1231,0
1234,1
1241,0
1252,0
1255,0
1257,0
1262,2
1264,1
1266,3
1268,2
1270,1
1273,0
1274,0
1293,1
1295,0
1296,0
1305,1
1306,2
1309,1
1310,0
1313,1
1316,1
1329,0
1331,0
1333,0
1339,1
1343,0
1352,2
1355,2
1364,1
1372,0
1374,0
1378,0
1381,1
1382,1
1383,0
1402,0
1412,2
1419,0
1440,1
1443,0
1456,0
1461,1
1467,0
1468,1
1476,0
1490,0
1491,0
1495,1
1496,2
1501,1
1510,0
1512,1
1518,1
1522,0
1526,1
1529,2
1530,0
1538,1
1546,1
1552,0
1560,0
1573,0
1590,1
1594,0
1597,2
1599,0
1600,0
1601,0
1609,0
1612,0
1615,1
1618,2
1619,0
1632,0
1638,0
1639,1
1641,1
1642,0
1645,0
1646,1
1647,0
1648,0
1652,1
1656,2
1666,0
1667,2
1668,0
1676,0
1684,1
1715,0
1725,1
1733,0
1739,0
1742,0
1744,0
1746,0
1750,1
1752,0
1757,0
1758,0
1762,0
1770,1
1771,0
1773,0
1775,0
1776,0
1778,1
1780,0
1781,0
1784,0
1786,0
1793,0
1795,2
1796,0
1801,0
1805,0
1810,0
1814,2
1815,2
1824,0
1825,0
1828,0
1830,0
1841,0
1848,2
1851,1
1853,1
1859,1
1861,1
1869,0
1871,0
1872,1
1873,0
1878,2
1880,0
1881,1
1882,0
1883,0
1890,0
1893,1
1896,0
1899,0
1905,0
1906,0
1909,0
1911,0
1912,0
1917,0
1922,0
1925,0
1927,2
1928,0
1930,0
1936,0
1940,1
1945,1
1953,2
1964,0
1967,0
1969,0
1970,1
1972,2
1974,0
1984,0
1987,0
1990,0
2003,2
2008,0
2012,1
2020,1
2021,0
2023,0
2031,0
2036,2
2037,2
2041,0
2042,1
2047,3
2048,0
2055,0
2064,0
2078,0
2093,0
2094,1
2096,0
2100,0
2104,0
2106,0
2109,2
2112,0
2118,0
2123,1
2124,2
2125,0
2128,0
2129,1
2136,0
2143,1
2145,2
2148,3
2155,0
2167,1
2168,0
2169,0
2180,0
2183,0
2195,0
2200,1
2205,0
2206,0
2214,0
2215,0
2218,0
2221,1
2223,0
2224,0
2230,0
2244,1
2247,0
2254,0
2260,0
2268,0
2271,2
2274,0
2288,1
2290,0
2292,1
2297,0
2305,0
2314,1
2318,0
2320,0
2322,1
2325,0
2332,0
2335,1
2337,0
2342,0
2349,1
2350,1
2354,1
2355,0
2359,0
2362,2
2370,0
2389,0
2394,1
2396,1
2397,1
2400,0
2407,0
2412,0
2427,2
2428,0
2430,0
2433,0
2437,0
2444,1
2450,0
2458,0
2459,0
2460,2
2461,0
2464,0
2465,0
2472,0
2474,0
2480,1
2483,2
2488,1
2494,2
2501,0
2508,0
2509,1
2515,0
2517,0
2529,2
2533,0
2534,0
2540,0
2545,1
2548,0
2557,0
2563,0
2566,0
2567,0
2572,2
2577,0
2578,0
2585,0
2607,0
2612,2
2616,1
2620,2
2623,0
2626,0
2632,2
2638,0
2639,0
2641,1
2649,2
2650,0
2657,2
2663,0
2664,3
2665,1
2674,1
2681,1
2685,1
2703,1
2721,1
2722,0
2731,0
2732,1
2741,0
2759,2
2762,0
2763,0
2770,0
2786,1
2793,0
2795,0
2797,0
2804,1
2825,1
2845,0
2849,2
2854,0
2866,0
2869,0
2875,0
2876,0
2877,0
2880,1
2884,0
2885,1
2888,1
2895,1
2909,2
2915,1
2920,0
2942,0
2948,0
2949,1
2951,1
2953,1
2956,0
2958,1
2960,0
