user_id,offer_arm
3,1
5,0
12,1
13,2
20,0
21,2
23,0
33,0
40,0
42,1
48,1
53,0
55,0
57,2
65,0
67,0
70,1
71,0
74,0
85,0
91,2
92,0
93,1
102,1
109,1
112,0
116,0
120,2
126,0
127,1
128,0
137,0
141,1
142,0
145,1
146,1
150,1
152,0
162,0
183,1
187,2
196,1
197,0
203,0
207,0
209,1
219,0
225,0
230,0
233,0
240,0
248,0
251,1
256,0
260,0
264,0
267,0
271,1
274,0
279,2
281,1
291,2
293,1
294,1
295,0
298,0
300,3
302,2
303,1
304,1
308,0
310,1
315,1
321,1
323,0
342,1
349,0
354,0
355,1
368,0
375,2
388,1
389,1
397,0
402,0
419,1
421,1
423,1
431,0
434,0
436,0
442,0
443,0
451,1
452,0
456,0
457,1
459,0
463,0
470,2
488,0
491,0
496,3
509,0
511,2
513,0
518,0
519,2
525,0
528,0
533,0
540,1
542,1
543,1
562,0
568,1
573,1
575,3
576,1
592,0
596,0
597,2
606,0
621,2
622,1
626,1
628,1
630,1
631,0
637,0
642,1
649,0
666,0
667,0
680,0
681,1
682,0
683,2
688,0
708,1
721,1
725,2
729,1
736,0
737,0
740,0
743,1
746,1
755,0
761,0
768,0
770,0
771,1
779,2
782,1
789,1
793,0
795,1
797,0
798,2
800,1
801,0
804,0
807,1
811,1
812,0
817,0
829,0
831,0
835,2
837,2
838,0
846,1
851,0
859,1
867,0
871,1
873,1
875,1
877,0
880,1
881,0
882,2
907,0
920,0
924,1
925,0
929,0
941,0
943,0
944,0
945,0
952,1
957,0
961,0
963,0
970,1
971,2
972,0
974,0
976,2
979,0
981,0
982,1
986,0
1006,0
1011,0
1017,1
1020,0
1031,0
1041,0
1044,1
1046,1
1048,0
1049,0
1050,0
1056,2
1057,1
1059,0
1064,0
1071,0
1072,2
1073,0
1087,0
1098,0
1099,2
1102,0
1103,1
1107,0
1117,0
1124,0
1126,1
1130,1
1131,0
1132,1
1134,0
1135,1
1144,0
1156,2
1160,0
1169,0
1173,0
1176,1
1183,2
1184,2
1197,1
1199,1
1202,2
1203,1
1212,1
1216,0
1219,0
1222,0
1231,1
1234,1
1241,0
1252,0
1255,0
1257,0
1262,0
1264,1
1266,0
1268,0
1270,1
1273,0
1274,0
1293,1
1295,2
1296,1
1305,1
1306,2
1309,1
1310,1
1313,1
1316,1
1329,1
1331,0
1333,2
1339,1
1343,0
1352,2
1355,2
1364,1
1372,0
1374,0
1378,0
1381,1
1382,1
1383,0
1402,0
1412,2
1419,1
1440,1
1443,1
1456,0
1461,1
1467,0
1468,1
1476,0
1490,1
1491,0
1495,1
1496,2
1501,1
1510,0
1512,1
1518,1
1522,0
1526,1
1529,0
1530,0
1538,1
1546,1
1552,0
1560,1
1573,0
1590,1
1594,1
1597,2
1599,1
1600,1
1601,0
1609,0
1612,0
1615,1
1618,2
1619,2
1632,1
1638,1
1639,1
1641,1
1642,0
1645,0
1646,1
1647,0
1648,0
1652,1
1656,2
1666,1
1667,2
1668,0
1676,1
1684,1
1715,0
1725,1
1733,1
1739,0
1742,0
1744,0
1746,1
1750,1
1752,0
1757,0
1758,1
1762,0
1770,1
1771,0
1773,1
1775,0
1776,0
1778,1
1780,1
1781,0
1784,0
1786,0
1793,1
1795,0
1796,0
1801,0
1805,0
1810,0
1814,2
1815,2
1824,0
1825,0
1828,0
1830,1
1841,0
1848,0
1851,1
1853,1
1859,1
1861,1
1869,0
1871,0
1872,1
1873,1
1878,2
1880,0
1881,1
1882,0
1883,1
1890,0
1893,1
1896,0
1899,0
1905,0
1906,0
